FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,,TOTAL (SUM),MEAN,STAND. DEVI.,INEQUALITY,SUSTAINABILITY,Aggressivity,TIMESTEPS TO GAME END
21.0,15.0,91.0,83.0,23.0,11.0,23.0,107.0,58.0,17.0,,449.0,44.9,34.578750700394025,0.4091314022068343,471.0607340819729,500.0,999
5.0,16.0,3.0,20.0,8.0,0.0,17.0,3.0,3.0,20.0,,95.0,9.5,7.473285756613352,0.43263157439335187,201.85988766485747,69.0,561
0.0,25.0,13.0,26.0,0.0,23.0,35.0,19.0,18.0,22.0,,181.0,18.1,10.568348972285122,0.31767955625591404,103.15729209286701,30.0,239
30.0,16.0,47.0,12.0,31.0,41.0,18.0,2.0,0.0,10.0,,207.0,20.7,15.146286673637205,0.4140096598357022,124.09101814447686,44.0,343
16.0,19.0,3.0,16.0,4.0,4.0,7.0,10.0,22.0,16.0,,117.0,11.7,6.588626564011653,0.3153846126890204,66.45289562089008,26.0,195
19.0,17.0,0.0,10.0,26.0,13.0,17.0,0.0,17.0,0.0,,119.0,11.9,8.7,0.40084033276604764,86.24320116442406,29.0,273
12.0,16.0,16.0,3.0,15.0,19.0,11.0,7.0,17.0,0.0,,116.0,11.6,6.036555309114628,0.28620689408442335,62.57448889671805,21.0,171
15.0,13.0,17.0,19.0,5.0,12.0,0.0,12.0,19.0,0.0,,112.0,11.2,6.80881781221968,0.33392856844706637,44.1390462058098,17.0,110
19.0,16.0,5.0,3.0,7.0,1.0,0.0,4.0,12.0,11.0,,78.0,7.8,6.11228271597445,0.4410256353714662,39.003921102658566,15.0,101
6.0,7.0,17.0,11.0,6.0,10.0,15.0,0.0,7.0,7.0,,86.0,8.6,4.6303347611160905,0.29069767103839916,33.28512759186494,17.0,116
0.0,11.0,0.0,9.0,0.0,6.0,0.0,0.0,12.0,7.0,,45.0,4.5,4.780167361086848,0.5711110984197534,40.346645546771846,32.0,167
22.0,4.0,17.0,14.0,0.0,18.0,7.0,11.0,15.0,14.0,,122.0,12.2,6.4156059729381765,0.2934426205455523,41.104054314026726,11.0,108
9.0,17.0,8.0,14.0,18.0,10.0,9.0,9.0,6.0,0.0,,100.0,10.0,5.019960159204453,0.27199999728,38.68017267213528,17.0,107
10.0,18.0,11.0,10.0,0.0,4.0,5.0,11.0,9.0,4.0,,82.0,8.2,4.812483766206387,0.3195121912254611,42.22875219494038,21.0,117
11.0,1.0,4.0,20.0,24.0,12.0,12.0,10.0,11.0,10.0,,115.0,11.5,6.328506932918696,0.2913043452930057,43.94904753055816,10.0,135
12.0,17.0,12.0,12.0,11.0,17.0,12.0,11.0,13.0,7.0,,124.0,12.4,2.764054992217051,0.1145161281087409,38.251393173029825,9.0,93
16.0,18.0,10.0,12.0,13.0,16.0,0.0,8.0,2.0,0.0,,95.0,9.5,6.438167441127949,0.37999999600000006,39.70754269701968,18.0,109
11.0,8.0,11.0,16.0,10.0,0.0,7.0,0.0,14.0,9.0,,86.0,8.6,4.983974317750845,0.3162790660897783,38.63526967554463,16.0,93
16.0,1.0,14.0,13.0,15.0,10.0,1.0,12.0,12.0,7.0,,101.0,10.1,5.146843692983109,0.2742574230271542,38.0381041480269,14.0,84
1.0,0.0,0.0,0.0,0.0,18.0,5.0,12.0,20.0,23.0,,79.0,7.9,8.93812060782355,0.6037974607114246,52.546444204319826,29.0,147
0.0,14.0,16.0,14.0,7.0,12.0,15.0,16.0,9.0,21.0,,124.0,12.4,5.535341001239219,0.23870967549427682,45.42771395748155,11.0,120
18.0,4.0,10.0,14.0,14.0,13.0,16.0,2.0,13.0,8.0,,112.0,11.2,4.894895300208167,0.2410714264190051,43.74421952402702,14.0,119
19.0,13.0,16.0,17.0,19.0,14.0,16.0,10.0,3.0,16.0,,143.0,14.3,4.561797891182817,0.16293706179764295,45.99013455866673,9.0,107
18.0,16.0,9.0,10.0,10.0,14.0,3.0,13.0,14.0,16.0,,123.0,12.3,4.172529209005013,0.18455284402802571,36.2366688384564,6.0,81
14.0,13.0,9.0,10.0,13.0,9.0,16.0,3.0,10.0,13.0,,110.0,11.0,3.4641016151377544,0.16727272575206617,36.31605175223046,16.0,87
15.0,13.0,10.0,10.0,11.0,10.0,6.0,13.0,9.0,14.0,,111.0,11.1,2.5475478405713994,0.12702702588263945,34.70465487935456,9.0,74
14.0,3.0,15.0,14.0,8.0,13.0,17.0,11.0,11.0,0.0,,106.0,10.6,5.161395160225576,0.26226414846920615,38.98293951399171,12.0,89
17.0,6.0,13.0,3.0,14.0,8.0,14.0,13.0,15.0,8.0,,111.0,11.1,4.3,0.21351351158996837,41.40174922719605,15.0,103
10.0,8.0,10.0,5.0,9.0,14.0,10.0,19.0,6.0,0.0,,91.0,9.1,4.846648326421054,0.2868131836613936,31.062925732170186,10.0,79
11.0,15.0,16.0,3.0,17.0,13.0,20.0,16.0,16.0,15.0,,142.0,14.2,4.354308211415448,0.15070422429081534,44.690858910608135,14.0,98
15.0,16.0,9.0,13.0,15.0,4.0,1.0,13.0,12.0,0.0,,98.0,9.8,5.706137047074843,0.3163265273844232,28.988597242567693,7.0,82
16.0,15.0,11.0,12.0,14.0,12.0,2.0,5.0,7.0,10.0,,104.0,10.4,4.2708313008125245,0.2288461516457101,33.48586163735945,9.0,87
16.0,2.0,10.0,6.0,16.0,18.0,11.0,5.0,9.0,8.0,,101.0,10.1,4.968903299521938,0.27821781902754633,40.53757077634117,16.0,93
13.0,7.0,1.0,10.0,9.0,13.0,10.0,12.0,8.0,13.0,,96.0,9.6,3.52703841770968,0.19166666467013893,31.82907030690975,9.0,83
1.0,18.0,9.0,18.0,14.0,12.0,12.0,10.0,13.0,19.0,,126.0,12.6,5.0635955604688645,0.21587301415973803,37.168089131022086,6.0,106
15.0,13.0,13.0,14.0,12.0,16.0,12.0,7.0,9.0,16.0,,127.0,12.7,2.7586228448267445,0.11889763685907377,44.29117125370499,15.0,111
14.0,19.0,19.0,15.0,16.0,18.0,12.0,18.0,15.0,8.0,,154.0,15.4,3.2924155266308657,0.11558441483386747,45.41243100052575,12.0,91
23.0,24.0,4.0,13.0,21.0,20.0,12.0,11.0,18.0,15.0,,161.0,16.1,5.940538696111658,0.20683229685197332,54.528172849113034,13.0,121
18.0,14.0,19.0,11.0,4.0,15.0,6.0,0.0,0.0,11.0,,98.0,9.8,6.63023378170031,0.38367346547271974,51.440651153904255,24.0,116
16.0,8.0,4.0,14.0,17.0,16.0,18.0,13.0,0.0,13.0,,119.0,11.9,5.682429058070149,0.2546218465998164,53.23711161755269,15.0,118
18.0,8.0,13.0,16.0,15.0,11.0,19.0,13.0,14.0,12.0,,139.0,13.9,3.1128764832546763,0.1258992796697894,45.66659751685505,12.0,111
0.0,10.0,30.0,20.0,10.0,26.0,23.0,29.0,31.0,22.0,,201.0,20.1,9.751410154434076,0.26517412803395957,90.19743019750098,35.0,210
15.0,11.0,10.0,7.0,28.0,2.0,26.0,17.0,4.0,27.0,,147.0,14.7,9.121951545584968,0.3503401336711556,69.29546034587311,15.0,166
11.0,15.0,17.0,16.0,14.0,9.0,1.0,4.0,19.0,2.0,,108.0,10.8,6.193545026880809,0.32222221923868316,43.09004008548626,10.0,101
0.0,10.0,14.0,5.0,13.0,9.0,10.0,7.0,12.0,5.0,,85.0,8.5,4.080441152620633,0.26705882038754336,41.1175096166951,15.0,119
0.0,0.0,17.0,9.0,10.0,11.0,7.0,4.0,13.0,0.0,,71.0,7.1,5.664803615307418,0.4492957683197779,39.118264940362735,15.0,104
31.0,15.0,18.0,25.0,4.0,28.0,21.0,19.0,22.0,21.0,,204.0,20.4,7.073895673530958,0.18529411673875434,77.69351874191723,20.0,164
10.0,22.0,0.0,22.0,12.0,7.0,21.0,12.0,10.0,15.0,,131.0,13.1,6.744627491566899,0.2847328222539479,53.740742497965165,17.0,128
16.0,24.0,6.0,3.0,15.0,3.0,14.0,26.0,18.0,22.0,,147.0,14.7,7.937883848986453,0.30408163058447873,75.21914957066107,20.0,177
10.0,12.0,10.0,16.0,11.0,13.0,10.0,16.0,12.0,14.0,,124.0,12.4,2.2,0.09838709598074927,41.08745011858374,7.0,109
20.0,23.0,14.0,10.0,22.0,11.0,22.0,1.0,28.0,19.0,,170.0,17.0,7.54983443527075,0.24352941033217995,73.75653382787932,22.0,175
20.0,21.0,1.0,25.0,39.0,30.0,25.0,20.0,8.0,32.0,,221.0,22.1,10.568348972285122,0.261990949040765,87.35225186201777,23.0,195
17.0,24.0,12.0,16.0,16.0,22.0,2.0,11.0,9.0,20.0,,149.0,14.9,6.252199612936234,0.23422818634746187,56.61977199719365,19.0,158
1.0,6.0,14.0,20.0,6.0,20.0,13.0,6.0,20.0,9.0,,115.0,11.5,6.576473218982953,0.31913043200756147,46.76797451127656,14.0,109
2.0,12.0,21.0,17.0,9.0,21.0,0.0,16.0,11.0,15.0,,124.0,12.4,6.814690014960328,0.3064516104318419,51.29646452180755,20.0,125
14.0,13.0,12.0,18.0,24.0,19.0,9.0,0.0,9.0,19.0,,137.0,13.7,6.450581369148055,0.2591240856998242,63.29651354441686,21.0,146
18.0,26.0,24.0,0.0,0.0,23.0,25.0,3.0,18.0,27.0,,164.0,16.4,10.49952379872535,0.34024390036436647,97.28612763406572,26.0,210
25.0,18.0,31.0,28.0,24.0,29.0,19.0,30.0,16.0,22.0,,242.0,24.2,5.055689863905815,0.11900826397104024,82.60864555150025,11.0,181
7.0,41.0,33.0,12.0,0.0,24.0,27.0,25.0,14.0,8.0,,191.0,19.1,12.267436570041845,0.36387434364463694,131.17683067731903,45.0,310
